STATION,NAME,DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV
USW00024234,"SEATTLE BOEING FIELD, WA US",1,30.0,5.0,-7777.0,0.0,0.0,0.0,0.0,0.0,11.1,1.4,107.0,30.0,5.0,-7777.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,37.0,116.0,245.0,396.0,457.0,550.0,705.0,,,,,,,,5.72,,,,,,,,,,,,,,42.3,2.5,285.0,11.3,3.0,0.0,0.0,0.0,0.0,0.3,47.8,2.6,0.0,0.0,4.0,6.3,223.0,307.0,310.0,310.0,36.7,45.0,157.0,411.0,776.0,973.0,1000.0,2.7
USW00024234,"SEATTLE BOEING FIELD, WA US",2,26.0,2.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,14.1,2.2,107.0,26.0,2.0,-7777.0,-7777.0,0.0,0.0,0.0,0.0,45.0,28.0,13.0,72.0,188.0,326.0,382.0,466.0,606.0,,,,,,,,3.89,,,,,,,,,,,,,,43.3,2.4,277.0,15.1,6.0,0.0,0.0,0.0,0.0,0.0,50.4,2.0,0.0,0.0,0.0,6.1,206.0,280.0,280.0,280.0,36.3,15.0,94.0,321.0,673.0,934.0,999.0,3.2
USW00024234,"SEATTLE BOEING FIELD, WA US",3,95.0,24.0,3.0,1.0,-7777.0,0.0,0.0,0.0,14.2,1.3,222.0,95.0,24.0,3.0,1.0,-7777.0,0.0,0.0,0.0,101.0,74.0,5.0,33.0,117.0,251.0,311.0,403.0,558.0,,,,,,,,3.76,,,,,,,,,,,,,,47.0,2.2,307.0,23.8,39.0,2.0,0.0,0.0,0.0,0.0,54.1,2.5,0.0,0.0,0.0,2.3,153.0,306.0,310.0,310.0,39.9,0.0,4.0,41.0,198.0,627.0,963.0,2.0
USW00024234,"SEATTLE BOEING FIELD, WA US",4,192.0,76.0,19.0,10.0,3.0,0.0,0.0,-7777.0,14.9,2.4,339.0,192.0,76.0,19.0,10.0,3.0,-7777.0,0.0,0.0,166.0,134.0,0.0,3.0,37.0,130.0,181.0,264.0,411.0,,,,,,,,2.94,,,,,,,,,,,,,,51.3,2.2,300.0,27.7,106.0,20.0,1.0,0.0,0.0,0.0,58.7,2.3,0.0,0.0,0.0,0.1,59.0,275.0,300.0,300.0,43.9,0.0,0.0,0.0,0.0,141.0,556.0,2.7
USW00024234,"SEATTLE BOEING FIELD, WA US",5,349.0,200.0,81.0,50.0,22.0,1.0,-7777.0,5.0,17.4,2.3,503.0,349.0,200.0,81.0,50.0,22.0,5.0,1.0,-7777.0,287.0,244.0,0.0,-7777.0,6.0,42.0,74.0,138.0,276.0,,,,,,,,2.68,,,,,,,,,,,,,,56.3,2.2,310.0,31.0,237.0,64.0,9.0,0.0,0.0,0.0,65.0,2.5,0.0,0.0,0.0,0.3,13.0,222.0,310.0,310.0,47.5,0.0,0.0,0.0,0.0,15.0,162.0,2.5
USW00024234,"SEATTLE BOEING FIELD, WA US",6,509.0,359.0,212.0,159.0,91.0,6.0,3.0,28.0,16.7,1.6,659.0,509.0,359.0,212.0,159.0,91.0,28.0,6.0,3.0,419.0,362.0,0.0,0.0,0.0,4.0,11.0,33.0,119.0,,,,,,,,1.47,,,,,,,,,,,,,,62.0,2.3,300.0,30.0,282.0,135.0,33.0,0.2,0.0,0.0,70.3,2.9,0.0,0.0,0.0,0.0,0.0,50.0,288.0,300.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8
USW00024234,"SEATTLE BOEING FIELD, WA US",7,671.0,516.0,361.0,299.0,208.0,24.0,13.0,85.0,18.1,1.8,826.0,671.0,516.0,361.0,299.0,208.0,85.0,24.0,13.0,574.0,512.0,0.0,0.0,0.0,-7777.0,-7777.0,2.0,34.0,,,,,,,,0.84,,,,,,,,,,,,,,66.7,2.1,310.0,31.0,310.0,240.0,77.0,1.0,0.1,0.0,75.7,2.8,0.0,0.0,0.0,0.0,0.0,1.0,242.0,309.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6
USW00024234,"SEATTLE BOEING FIELD, WA US",8,682.0,527.0,372.0,310.0,218.0,17.0,8.0,86.0,18.5,1.9,837.0,682.0,527.0,372.0,310.0,218.0,86.0,17.0,8.0,587.0,525.0,0.0,0.0,0.0,0.0,-7777.0,1.0,24.0,,,,,,,,0.99,,,,,,,,,,,,,,67.0,1.6,310.0,31.0,310.0,264.0,84.0,0.3,0.0,0.0,76.2,2.3,0.0,0.0,0.0,0.0,0.0,3.0,237.0,310.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4
USW00024234,"SEATTLE BOEING FIELD, WA US",9,496.0,346.0,201.0,148.0,82.0,2.0,-7777.0,19.0,17.5,2.1,646.0,496.0,346.0,201.0,148.0,82.0,19.0,2.0,-7777.0,411.0,357.0,0.0,0.0,-7777.0,4.0,11.0,35.0,123.0,,,,,,,,1.62,,,,,,,,,,,,,,61.6,1.6,300.0,30.0,292.0,155.0,22.0,0.0,0.0,0.0,70.3,2.3,0.0,0.0,0.0,0.0,0.0,75.0,291.0,300.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4
USW00024234,"SEATTLE BOEING FIELD, WA US",10,251.0,116.0,30.0,14.0,3.0,-7777.0,0.0,-7777.0,14.2,1.4,403.0,251.0,116.0,30.0,14.0,3.0,-7777.0,-7777.0,0.0,205.0,165.0,-7777.0,3.0,23.0,92.0,138.0,220.0,372.0,,,,,,,,3.73,,,,,,,,,,,,,,53.0,1.3,310.0,30.5,153.0,10.0,0.0,0.0,0.0,0.0,60.1,1.4,0.0,0.0,0.0,0.1,42.0,237.0,310.0,310.0,45.9,0.0,0.0,0.0,4.0,76.0,486.0,1.6
