id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
1000,Saturday,DELTA,DEST_0,Canada/Mexico,Hub,Gates 91-102,2018-12-31,155.7,Somewhat clean,Very unsafe,Somewhat unsatisfied
1001,Friday,JETBLUE,DEST_1,Australia/New Zealand,Medium,Gates 40-48,2018-12-31,480.3,Average,Somewhat safe,Very unsatisfied
1002,Tuesday,JETBLUE,DEST_2,West US,Large,Gates 1-12,2018-12-31,533.5,Clean,Very unsafe,Somewhat unsatisfied
1003,Wednesday,UNITED INTL,DEST_3,West US,    Hub,Gates 91-102,2018-12-31,263.4,Somewhat clean,Somewhat safe,Somewhat unsatisfied
1004,Thursday,ALASKA,DEST_4,Europe,Hub     ,Gates 1-12,2018-12-31,587.8,Unacceptable,Somewhat safe,Very unsatisfied
1005,Monday,CHINA EASTERN,DEST_5,Middle East,Hub     ,Gates 40-48,2018-12-31,101.2,Somewhat dirty,Somewhat unsafe,Somewhat unsatisfied
1006,Sunday,UNITED,DEST_6,Europe,Large     ,Gates 50-59,2018-12-31,199.8,Dirty,Very unsafe,Very unsatisfied
1007,Wednesday,JETBLUE,DEST_7,middle east,Medium     ,Gates 70-90,2018-12-31,444.8,Clean,Very unsafe,Somewhat satisfied
1008,Sunday,AMERICAN,DEST_8,Asia,Large,Gates 20-39,2018-12-31,490.3,Dirty,Neutral,Neutral
1009,Tuesday,UNITED,DEST_9,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,213.2,Average,Somewhat safe,Very satisfied
1010,Sunday,ALASKA,DEST_10,eur,Large     ,Gates 40-48,2018-12-31,507.0,Somewhat dirty,Somewhat unsafe,Very satisfied
1011,Sunday,SOUTHWEST,DEST_11,eur,Small     ,Gates 91-102,2018-12-31,308.6,Somewhat dirty,Neutral,Somewhat unsatisfied
1012,Friday,DELTA,DEST_12,Asia,Large     ,Gates 70-90,2018-12-31,115.3,Average,Somewhat safe,Very unsatisfied
1013,Friday,DELTA,DEST_13,Canada/Mexico,    Hub,Gates 20-39,2018-12-31,285.1,Clean,Somewhat safe,Somewhat satisfied
1014,Wednesday,SOUTHWEST,DEST_14,EAST US,Medium,Gates 70-90,2018-12-31,488.3,Dirty,Neutral,Neutral
1015,Monday,AMERICAN,DEST_15,Middle East,    Hub,Gates 70-90,2018-12-31,427.8,Somewhat dirty,Very safe,Very unsatisfied
1016,Sunday,SOUTHWEST,DEST_16,Europe,Hub     ,Gates 50-59,2018-12-31,155.8,Average,Somewhat safe,Somewhat satisfied
1017,Tuesday,CHINA EASTERN,DEST_17,eur,    Large,Gates 50-59,2018-12-31,477.6,Unacceptable,Very unsafe,Very satisfied
1018,Saturday,AMERICAN,DEST_18,Europe,Medium,Gates 1-12,2018-12-31,237.8,Dirty,Neutral,Very satisfied
1019,Monday,SOUTHWEST,DEST_19,EAST US,Large     ,Gates 20-39,2018-12-31,591.5,Average,Very safe,Very satisfied
1020,Wednesday,SOUTHWEST,DEST_20,EAST US,Hub     ,Gates 40-48,2018-12-31,76.2,Clean,Somewhat unsafe,Somewhat satisfied
1021,Friday,UNITED INTL,DEST_21,Canada/Mexico,Small,Gates 50-59,2018-12-31,326.5,Dirty,Neutral,Neutral
1022,Tuesday,SOUTHWEST,DEST_22,Central/South America,    Hub,Gates 40-48,2018-12-31,63.3,Clean,Very safe,Very satisfied
1023,Saturday,UNITED INTL,DEST_23,Australia/New Zealand,    Medium,Gates 70-90,2018-12-31,187.6,Dirty,Somewhat unsafe,Very satisfied
1024,Saturday,ALASKA,DEST_24,Canada/Mexico,Large,Gates 40-48,2018-12-31,485.1,Clean,Very safe,Very satisfied
1025,Friday,CHINA EASTERN,DEST_25,Middle East,    Hub,Gates 50-59,2018-12-31,305.3,Somewhat dirty,Very safe,Somewhat unsatisfied
1026,Tuesday,ALASKA,DEST_26,middle east,Medium     ,Gates 20-39,2018-12-31,145.6,Clean,Somewhat safe,Somewhat unsatisfied
1027,Tuesday,ALASKA,DEST_27,Australia/New Zealand,Large,Gates 1-12,2018-12-31,516.8,Dirty,Neutral,Very satisfied
1028,Thursday,SOUTHWEST,DEST_28,Asia,Medium,Gates 20-39,2018-12-31,237.4,Somewhat clean,Very safe,Very unsatisfied
1029,Friday,SOUTHWEST,DEST_29,East US,Medium     ,Gates 91-102,2018-12-31,104.4,Somewhat dirty,Somewhat unsafe,Very unsatisfied
1030,Wednesday,SOUTHWEST,DEST_30,East US,Hub     ,Gates 70-90,2018-12-31,310.8,Average,Very unsafe,Somewhat unsatisfied
1031,Wednesday,ALASKA,DEST_31,Central/South America,Small,Gates 20-39,2018-12-31,216.6,Dirty,Very safe,Very unsatisfied
1032,Wednesday,UNITED,DEST_32,Australia/New Zealand,Small,Gates 50-59,2018-12-31,584.4,Clean,Very unsafe,Somewhat satisfied
1033,Saturday,UNITED,DEST_33,Middle East,Small     ,Gates 50-59,2018-12-31,296.7,Unacceptable,Somewhat unsafe,Neutral
1034,Thursday,UNITED INTL,DEST_34,EAST US,Hub     ,Gates 40-48,2018-12-31,421.1,Dirty,Neutral,Somewhat unsatisfied
1035,Saturday,AMERICAN,DEST_35,Midwest US,Medium,Gates 91-102,2018-12-31,525.7,Clean,Neutral,Very unsatisfied
1036,Wednesday,ALASKA,DEST_36,West US,Medium,Gates 20-39,2018-12-31,332.9,Dirty,Neutral,Somewhat unsatisfied
1037,Friday,CHINA EASTERN,DEST_37,middle east,Medium,Gates 1-12,2018-12-31,87.3,Unacceptable,Very safe,Very satisfied
1038,Friday,DELTA,DEST_38,Canada/Mexico,Hub     ,Gates 70-90,2018-12-31,539.5,Average,Very unsafe,Somewhat unsatisfied
