,listing_id,host_name,last_review,price,nbhood_full,description,room_type,borough,neighborhood
0,2595,Jennifer,2019-05-21,225,"Manhattan, Midtown",Skylit Midtown Castle,entire home/apt,Manhattan,Midtown
1,3831,LisaRoxanne,2019-07-05,89,"Brooklyn, Clinton Hill",Cozy Entire Floor of Brownstone,entire home/apt,Brooklyn,Clinton Hill
2,5099,Chris,2019-06-22,200,"Manhattan, Murray Hill",Large Cozy 1 BR Apartment In Midtown East,entire home/apt,Manhattan,Murray Hill
3,5178,Shunichi,2019-06-24,79,"Manhattan, Hell's Kitchen",Large Furnished Room Near B'way,private room,Manhattan,Hell's Kitchen
4,5238,Ben,2019-06-09,150,"Manhattan, Chinatown",Cute & Cozy Lower East Side 1 bdrm,entire home/apt,Manhattan,Chinatown
5,5295,Lena,2019-06-22,135,"Manhattan, Upper West Side",Beautiful 1br on Upper West Side,entire home/apt,Manhattan,Upper West Side
6,5441,Kate,2019-06-23,85,"Manhattan, Hell's Kitchen",Central Manhattan/near Broadway,private room,Manhattan,Hell's Kitchen
7,5803,Laurie,2019-06-24,89,"Brooklyn, South Slope","Lovely Room 1, Garden, Best Area, Legal rental",private room,Brooklyn,South Slope
8,6021,Claudio,2019-07-05,85,"Manhattan, Upper West Side",Wonderful Guest Bedroom in Manhattan for SINGLES,private room,Manhattan,Upper West Side
9,6848,Allen & Irina,2019-06-29,140,"Brooklyn, Williamsburg",Only 2 stops to Manhattan studio,entire home/apt,Brooklyn,Williamsburg
10,7097,Jane,2019-06-28,215,"Brooklyn, Fort Greene",Perfect for Your Parents + Garden,entire home/apt,Brooklyn,Fort Greene
11,7322,Doti,2019-07-01,140,"Manhattan, Chelsea",Chelsea Perfect,private room,Manhattan,Chelsea
12,7726,Adam And Charity,2019-06-22,99,"Brooklyn, Crown Heights",Hip Historic Brownstone Apartment with Backyard,entire home/apt,Brooklyn,Crown Heights
13,8024,Lisel,2019-07-01,130,"Brooklyn, Park Slope",CBG CtyBGd HelpsHaiti rm#1:1-4,private room,Brooklyn,Park Slope
14,8025,Lisel,2019-01-01,80,"Brooklyn, Park Slope",CBG Helps Haiti Room#2.5,private room,Brooklyn,Park Slope
15,8110,Lisel,2019-07-02,110,"Brooklyn, Park Slope",CBG Helps Haiti Rm #2,private room,Brooklyn,Park Slope
16,8490,Nathalie,2019-06-19,120,"Brooklyn, Bedford-Stuyvesant","MAISON DES SIRENES1,bohemian apartment",entire home/apt,Brooklyn,Bedford-Stuyvesant
17,8505,Gregory,2019-06-23,60,"Brooklyn, Windsor Terrace",Sunny Bedroom Across Prospect Park,private room,Brooklyn,Windsor Terrace
18,9518,Shon,2019-06-15,44,"Manhattan, Inwood","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room,Manhattan,Inwood
19,9657,Dana,2019-04-19,180,"Manhattan, East Village",Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Manhattan,East Village
20,9668,Ssameer Or Trip,2019-06-01,50,"Manhattan, Harlem",front room/double bed,private room,Manhattan,Harlem
21,9704,Teri,2019-06-14,52,"Manhattan, Harlem",Spacious 1 bedroom in luxe building,private room,Manhattan,Harlem
22,9782,Andrea,2019-06-15,55,"Brooklyn, Greenpoint",Loft in Williamsburg Area w/ Roof,private room,Brooklyn,Greenpoint
23,9783,Ssameer Or Trip,2019-07-01,50,"Manhattan, Harlem",back room/bunk beds,private room,Manhattan,Harlem
24,10452,Angela,2019-05-12,70,"Brooklyn, Bedford-Stuyvesant",Large B&B Style rooms,private room,Brooklyn,Bedford-Stuyvesant
25,10962,Laurie,2019-06-21,89,"Brooklyn, South Slope","Lovely room 2 & garden; Best area, Legal rental",private room,Brooklyn,South Slope
26,11708,Tyrome,2019-06-22,85,"Brooklyn, Bushwick",Cute apt in artist's home,entire home/apt,Brooklyn,Bushwick
27,12048,Ben,2019-07-05,40,"Manhattan, Lower East Side",LowerEastSide apt share shortterm 1,shared room,Manhattan,Lower East Side
28,12192,Edward,2019-06-21,68,"Manhattan, East Village",ENJOY Downtown NYC!,private room,Manhattan,East Village
29,12299,Abdul,2019-05-27,120,"Brooklyn, South Slope",Beautiful Sunny Park Slope Brooklyn,entire home/apt,Brooklyn,South Slope
30,12318,Cyn,2019-06-16,135,"Manhattan, Upper West Side",West Side Retreat,private room,Manhattan,Upper West Side
31,12343,Earl,2019-06-13,150,"Manhattan, Harlem",BEST BET IN HARLEM,entire home/apt,Manhattan,Harlem
32,12627,Rana,2019-06-05,150,"Brooklyn, Prospect-Lefferts Gardens",Entire apartment in central Brooklyn neighborhood.,entire home/apt,Brooklyn,Prospect-Lefferts Gardens
33,12937,Orestes,2019-07-01,130,"Queens, Long Island City","1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,Queens,Long Island City
34,12940,Adreinne,2019-05-25,110,"Brooklyn, Bedford-Stuyvesant",Charming Brownstone 3 - Near PRATT,entire home/apt,Brooklyn,Bedford-Stuyvesant
35,13394,Alexander,2019-06-17,80,"Brooklyn, Fort Greene",Fort Greene brownstone,private room,Brooklyn,Fort Greene
36,13808,JT And Tiziana,2019-06-16,80,"Brooklyn, Bedford-Stuyvesant",Blue Room for 2 in Brownstone for $1350 monthly,private room,Brooklyn,Bedford-Stuyvesant
37,14287,Joya,2019-07-07,151,"Manhattan, Upper West Side",Cozy 1BD on Central Park West in New York City,entire home/apt,Manhattan,Upper West Side
38,14290,James,2019-05-17,228,"Brooklyn, Williamsburg",* ORIGINAL BROOKLYN LOFT *,entire home/apt,Brooklyn,Williamsburg
39,14314,Jeanne,2019-06-29,144,"Brooklyn, Greenpoint",Greenpoint Place...Has It All!,entire home/apt,Brooklyn,Greenpoint
40,14322,Francesca,2019-03-25,200,"Manhattan, Kips Bay",Beautiful Apartment in Manhattan!!!,entire home/apt,Manhattan,Kips Bay
41,14377,Joanna,2019-06-22,150,"Brooklyn, Williamsburg",Williamsburg 1 bedroom Apartment,entire home/apt,Brooklyn,Williamsburg
42,14991,Bianca,2019-05-18,110,"Manhattan, Lower East Side","Great Location, Manhattan Bedroom!",private room,Manhattan,Lower East Side
43,15220,Luiz,2019-06-09,69,"Manhattan, Hell's Kitchen",Best Location in NYC! TIMES SQUARE!,private room,Manhattan,Hell's Kitchen
44,15338,Andrea,2019-06-04,49,"Brooklyn, Greenpoint",Room in Greenpoint Loft w/ Roof,private room,Brooklyn,Greenpoint
45,15341,Ted,2019-06-29,180,"Manhattan, SoHo",**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt,Manhattan,SoHo
46,15385,Cristina,2019-06-30,80,"Brooklyn, Williamsburg","Very, very cozy place",private room,Brooklyn,Williamsburg
47,15711,D,2019-03-30,250,"Manhattan, Upper East Side",2 bedroom - Upper East Side-great for kids,entire home/apt,Manhattan,Upper East Side
48,16326,Dimitri,2019-01-26,200,"Brooklyn, Prospect Heights",Comfortable 4-bedroom apt in family house.,entire home/apt,Brooklyn,Prospect Heights
49,16421,Mark,2019-05-16,52,"Manhattan, Hell's Kitchen",Your Heaven in Hells Kitchen,private room,Manhattan,Hell's Kitchen
50,16580,Reka,2019-07-01,80,"Manhattan, East Village","Sunny, Modern room in East Village!",private room,Manhattan,East Village
51,16595,Daniel,2019-06-23,275,"Brooklyn, Williamsburg",*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt,Brooklyn,Williamsburg
52,16821,Casey,2019-06-21,99,"Manhattan, East Village",Large Room in Amazing East Village Apt,private room,Manhattan,East Village
53,16974,Robin,2019-06-23,225,"Manhattan, East Harlem",SpaHa Loft: Enormous and Bright,entire home/apt,Manhattan,East Harlem
54,17092,Enzo,2019-06-01,51,"Manhattan, Hell's Kitchen",Cool Room in Hell's Kitchen,private room,Manhattan,Hell's Kitchen
55,17693,Tye And Etienne,2019-06-18,65,"Manhattan, Washington Heights","HARLEM, NEW YORK WELCOMES YOU!!",private room,Manhattan,Washington Heights
56,17747,George,2019-06-26,105,"Brooklyn, Clinton Hill",BLUE TRIM GUEST HOUSE,private room,Brooklyn,Clinton Hill
57,18127,Josh,2019-01-02,190,"Manhattan, East Village",Charming East Village One Bedroom Flat,entire home/apt,Manhattan,East Village
58,18152,Victoria,2019-07-09,200,"Manhattan, Upper East Side",Manhattan Room,private room,Manhattan,Upper East Side
59,18198,Justin,2019-05-31,70,"Queens, Woodside",Little King of Queens,private room,Queens,Woodside
60,18590,Blaise,2019-06-16,95,"Brooklyn, Fort Greene",Fort Greene Retreat on the Park,private room,Brooklyn,Fort Greene
61,18728,DAVID And RICK,2019-05-28,150,"Manhattan, Chelsea",Beautiful Meatpacking District Loft,private room,Manhattan,Chelsea
62,18764,Lulú,2019-04-22,145,"Brooklyn, Williamsburg",Cozy 2 BR in Williamsburg,private room,Brooklyn,Williamsburg
63,19159,Sybilla,2019-03-23,110,"Manhattan, Harlem",Spacious luminous apt Upper West NYC,entire home/apt,Manhattan,Harlem
64,19169,JoLynn,2019-06-30,285,"Manhattan, Lower East Side",Entire 2 Bedroom - Large & Sunny,entire home/apt,Manhattan,Lower East Side
65,19282,Gaia,2019-06-15,130,"Brooklyn, Flatbush","Sunny, Spacious Top Floor Haven",entire home/apt,Brooklyn,Flatbush
66,19319,Ana,2019-04-08,94,"Manhattan, Lower East Side",Private room Great Deal at Lower East Side,private room,Manhattan,Lower East Side
67,20299,Edward,2019-06-30,60,"Manhattan, East Village",Oh glorious spring!,private room,Manhattan,East Village
68,20611,Lulú,2019-06-22,85,"Brooklyn, Williamsburg",Cozy Bedroom in Williamsburg 3 BR,private room,Brooklyn,Williamsburg
69,20724,Augustin,2019-05-26,65,"Brooklyn, Bushwick",Sunny room+Pvte office in huge loft,private room,Brooklyn,Bushwick
70,20734,Sean & Lynette,2019-06-27,131,"Brooklyn, Prospect Heights",Spacious Prospect Heights Apartment,entire home/apt,Brooklyn,Prospect Heights
71,20755,Erica,2019-05-31,98,"Brooklyn, Clinton Hill","Large Parlor Room, Landmark Home 1 block to PRATT",private room,Brooklyn,Clinton Hill
72,20853,Tracy,2019-05-21,250,"Brooklyn, Prospect Heights",2-bed brownstone duplex + garden,entire home/apt,Brooklyn,Prospect Heights
73,21293,Tyrome,2019-06-18,105,"Brooklyn, Bushwick",Sunny Apartment in Artist Home,entire home/apt,Brooklyn,Bushwick
74,21456,Dana,2019-07-07,140,"Manhattan, Upper West Side",Light-filled classic Central Park,entire home/apt,Manhattan,Upper West Side
75,21794,Olan,2019-05-01,98,"Manhattan, Chelsea",COZY QUIET room 4 DOOGLERS!,private room,Manhattan,Chelsea
76,22918,Ssameer Or Trip,2019-01-03,60,"Manhattan, Harlem",loft bed - near transportation-15min to times sq,private room,Manhattan,Harlem
77,23135,Annette,2019-06-24,175,"Brooklyn, Carroll Gardens",House On Henry (3rd FLR Suite),entire home/apt,Brooklyn,Carroll Gardens
78,23686,Ann,2019-05-18,500,"Manhattan, West Village",2000 SF 3br 2bath West Village private  townhouse,entire home/apt,Manhattan,West Village
79,24143,Seth,2019-05-29,101,"Brooklyn, Williamsburg","Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room,Brooklyn,Williamsburg
80,25235,Shelly,2019-06-28,125,"Brooklyn, Bedford-Stuyvesant",Large 2 Bedroom Great for Groups!,entire home/apt,Brooklyn,Bedford-Stuyvesant
81,25696,Dena,2019-06-23,100,"Manhattan, Harlem","1,800 sq foot in luxury building",private room,Manhattan,Harlem
82,26362,Luiz,2019-06-16,59,"Manhattan, Hell's Kitchen","Times Square, Safe, Clean and Cozy!",private room,Manhattan,Hell's Kitchen
