student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
699,city_103,0.92,,True,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,False
25619,city_61,0.913,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,False
22293,city_103,0.92,Male,True,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,False
26494,city_16,0.91,Male,True,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,False
2547,city_114,0.926,Female,True,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,False
25987,city_103,0.92,Other,True,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,True
1180,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,False
25349,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,False
20576,city_97,0.925,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,False
3921,city_36,0.893,,False,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,False
24796,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,False
22718,city_157,0.769,,True,no_enrollment,Graduate,No Major,14,10000+,,>4,47,False
12154,city_16,0.91,,True,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,False
28817,city_89,0.925,Male,True,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,True
7280,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,False
16903,city_103,0.92,Male,True,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,False
32092,city_103,0.92,Female,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,False
29497,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,True
3728,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,False
26099,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,False
31602,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,False
16814,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,False
20881,city_28,0.939,Male,True,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,False
33050,city_165,0.903,,True,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,False
28838,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,False
16537,city_136,0.897,Male,True,no_enrollment,Masters,STEM,15,10000+,,>4,134,False
4310,city_103,0.92,,True,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,4,False
31692,city_160,0.92,Male,True,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,False
31401,city_103,0.92,Male,True,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,2,116,False
24701,city_103,0.92,,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,16,False
10102,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,never,107,False
30331,city_103,0.92,,True,no_enrollment,Graduate,STEM,14,5000-9999,Pvt Ltd,>4,101,False
2990,city_173,0.878,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,32,True
8540,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,52,False
32699,city_103,0.92,,True,no_enrollment,High School,,18,10000+,Pvt Ltd,1,80,False
10370,city_75,0.939,Male,True,no_enrollment,Masters,STEM,16,5000-9999,NGO,2,166,False
5340,city_103,0.92,Male,True,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,never,109,False
20743,city_50,0.896,Male,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,23,True
29217,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,67,False
25969,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,38,False
26925,city_158,0.766,Other,True,Full time course,Graduate,STEM,15,5000-9999,,never,30,True
18620,city_40,0.776,Male,True,Full time course,Graduate,STEM,14,1000-4999,Pvt Ltd,never,52,False
10017,city_114,0.926,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,67,False
20797,city_16,0.91,Male,True,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,58,False
28468,city_28,0.939,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,88,False
4978,city_114,0.926,Male,True,Part time course,Masters,STEM,14,10000+,Pvt Ltd,2,16,False
28641,city_104,0.924,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,95,False
1396,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,3,2,False
3920,city_106,0.698,Male,True,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,4,39,False
26291,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,>4,72,False
21878,city_103,0.92,,True,no_enrollment,Graduate,Other,20,10000+,Pvt Ltd,>4,56,False
32925,city_16,0.91,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,78,False
27494,city_136,0.897,,True,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,84,False
13597,city_36,0.893,Male,True,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,1,107,False
428,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,>4,80,False
1131,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,>4,34,False
6389,city_103,0.92,Male,True,no_enrollment,Masters,Humanities,15,1000-4999,Pvt Ltd,4,11,False
5417,city_10,0.895,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,>4,14,False
24870,city_21,0.624,,True,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,2,22,False
4475,city_90,0.698,Male,True,Full time course,Masters,STEM,>20,10000+,Public Sector,1,28,False
4072,city_16,0.91,Male,True,no_enrollment,Graduate,Humanities,>20,10000+,Public Sector,1,20,False
